Date,spotPrice,year,spotPriceRolling,AveragePerYear,Year
2018-01-15 11:00:00,298.09,2018,,,2018
2018-01-15 12:00:00,289.53,2018,,,2018
2018-01-15 13:00:00,288.15,2018,,,2018
2018-01-15 14:00:00,289.43,2018,,,2018
2018-01-15 15:00:00,287.66,2018,,,2018
2018-01-15 16:00:00,288.74,2018,,,2018
2018-01-15 17:00:00,295.23,2018,,,2018
2018-01-15 18:00:00,289.13,2018,,,2018
2018-01-15 19:00:00,286.87,2018,,,2018
2018-01-15 20:00:00,283.92,2018,,,2018
2018-01-15 21:00:00,275.75,2018,,,2018
2018-01-15 22:00:00,243.09,2018,,,2018
2018-01-15 23:00:00,162.62,2018,,,2018
2018-01-16 00:00:00,257.02,2018,,,2018
2018-01-16 01:00:00,233.82,2018,,,2018
2018-01-16 02:00:00,200.48,2018,,,2018
2018-01-16 03:00:00,211.5,2018,,,2018
2018-01-16 04:00:00,232.93,2018,,,2018
2018-01-16 05:00:00,274.43,2018,,,2018
2018-01-16 06:00:00,285.83,2018,,,2018
2018-01-16 07:00:00,311.2,2018,,,2018
2018-01-16 08:00:00,322.11,2018,,,2018
2018-01-16 09:00:00,324.47,2018,,,2018
2018-01-16 10:00:00,323.69,2018,,,2018
2018-01-16 11:00:00,324.18,2018,,,2018
2018-01-16 12:00:00,323.39,2018,,,2018
2018-01-16 13:00:00,323.49,2018,,,2018
2018-01-16 14:00:00,323.39,2018,,,2018
2018-01-16 15:00:00,332.14,2018,,,2018
2018-01-16 16:00:00,363.21,2018,,,2018
2018-01-16 17:00:00,414.73,2018,,,2018
2018-01-16 18:00:00,435.97,2018,,,2018
2018-01-16 19:00:00,334.21,2018,,,2018
2018-01-16 20:00:00,312.48,2018,,,2018
2018-01-16 21:00:00,301.76,2018,,,2018
2018-01-16 22:00:00,288.88,2018,,,2018
2018-01-16 23:00:00,274.13,2018,,,2018
2018-01-17 00:00:00,276.53,2018,,,2018
2018-01-17 01:00:00,272.7,2018,,,2018
2018-01-17 02:00:00,270.54,2018,,,2018
2018-01-17 03:00:00,269.95,2018,,,2018
2018-01-17 04:00:00,274.27,2018,,,2018
2018-01-17 05:00:00,285.48,2018,,,2018
2018-01-17 06:00:00,309.26,2018,,,2018
